%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
  1,0.7264,0.7589,0.7664,0.7716,0.7751,0.7773,0.7792,0.781,0.7824,0.7835,0.7844,0.785,0.7855,0.7858,0.7862,0.7865,0.7868,0.7871,0.7873,0.7876,0.7877,0.7879,0.7882,0.7884,0.7885,0.7886,0.7888,0.7889,0.789,0.7891,0.7891,0.7892,0.7892,0.7892,0.7893,0.7892,0.7892,0.7892,0.7892,0.7892,
  2,0.7652,0.8116,0.8262,0.8368,0.8434,0.8476,0.851,0.8541,0.8567,0.8588,0.8604,0.8616,0.8626,0.8634,0.8641,0.8648,0.8654,0.8659,0.8664,0.8669,0.8674,0.8677,0.868,0.8684,0.8687,0.869,0.8692,0.8694,0.8696,0.8697,0.8698,0.8699,0.87,0.87,0.87,0.87,0.87,0.87,0.8699,0.8698,
  3,0.7746,0.8274,0.8482,0.8615,0.8721,0.8801,0.8856,0.8894,0.8922,0.8944,0.8964,0.8982,0.8999,0.9014,0.9026,0.9038,0.9047,0.9055,0.9062,0.9067,0.9072,0.9076,0.908,0.9083,0.9086,0.9088,0.909,0.9091,0.9092,0.9094,0.9096,0.9097,0.9098,0.91,0.9102,0.9104,0.9106,0.9108,0.911,0.9112,
  4,0.7804,0.8372,0.8615,0.8786,0.8911,0.9003,0.9074,0.9128,0.9172,0.9208,0.9236,0.9258,0.9278,0.9293,0.9308,0.932,0.9332,0.9342,0.9352,0.936,0.9368,0.9375,0.938,0.9386,0.939,0.9395,0.9398,0.9402,0.9404,0.9407,0.941,0.941,0.9412,0.9412,0.9414,0.9414,0.9414,0.9413,0.9413,0.9412,
  5,0.7847,0.8447,0.8724,0.8919,0.9062,0.9168,0.9252,0.9318,0.9372,0.9414,0.945,0.9478,0.9502,0.9522,0.954,0.9556,0.957,0.9584,0.9595,0.9606,0.9615,0.9624,0.9631,0.9638,0.9644,0.9649,0.9653,0.9658,0.966,0.9664,0.9666,0.9668,0.9669,0.967,0.967,0.967,0.967,0.967,0.9669,0.9668,
  6,0.7876,0.8505,0.881,0.902,0.9182,0.9305,0.94,0.9474,0.9532,0.958,0.9621,0.9655,0.9684,0.971,0.9732,0.9752,0.9768,0.9784,0.9798,0.981,0.982,0.983,0.9839,0.9846,0.9852,0.9858,0.9863,0.9867,0.9871,0.9874,0.9877,0.9879,0.988,0.9882,0.9884,0.9884,0.9885,0.9886,0.9886,0.9886,
  7,0.7899,0.855,0.8874,0.91,0.9275,0.9412,0.9517,0.9598,0.9663,0.9716,0.9762,0.98,0.9834,0.9862,0.9888,0.991,0.993,0.9948,0.9963,0.9977,0.9988,1.0,1.0009,1.0017,1.0024,1.0031,1.0036,1.0042,1.0046,1.005,1.0053,1.0056,1.0058,1.006,1.0061,1.0063,1.0064,1.0065,1.0066,1.0067,
  8,0.7917,0.8584,0.8921,0.9161,0.9348,0.9495,0.9608,0.9698,0.977,0.9828,0.9878,0.9921,0.9956,0.9988,1.0016,1.0041,1.0062,1.0082,1.0099,1.0114,1.0128,1.014,1.0151,1.016,1.0168,1.0176,1.0183,1.0188,1.0194,1.0198,1.0202,1.0204,1.0208,1.021,1.0212,1.0214,1.0215,1.0217,1.0218,1.0219,
  9,0.7931,0.8611,0.8957,0.921,0.9406,0.956,0.9682,0.9778,0.9856,0.9922,0.9976,1.0021,1.006,1.0094,1.0124,1.015,1.0174,1.0195,1.0214,1.023,1.0245,1.0259,1.027,1.0281,1.029,1.0299,1.0306,1.0313,1.0318,1.0324,1.0328,1.0332,1.0335,1.0338,1.0341,1.0343,1.0344,1.0345,1.0346,1.0347,
 10,0.7942,0.8632,0.8985,0.9249,0.9453,0.9614,0.9741,0.9844,0.9929,0.9998,1.0057,1.0105,1.0147,1.0183,1.0215,1.0243,1.0268,1.0291,1.0311,1.033,1.0345,1.036,1.0373,1.0385,1.0395,1.0404,1.0413,1.042,1.0426,1.0432,1.0436,1.0441,1.0445,1.0448,1.045,1.0453,1.0454,1.0456,1.0457,1.0458,
