%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
  1,0.7245,0.7569,0.7634,0.7687,0.7720,0.7740,0.7760,0.7778,0.7793,0.7805,0.7814,0.7820,0.7823,0.7826,0.7829,0.7831,0.7834,0.7837,0.7839,0.7842,0.7844,0.7846,0.7849,0.7851,0.7853,0.7854,0.7856,0.7857,0.7858,0.7860,0.7860,0.7861,0.7861,0.7862,0.7862,0.7861,0.7861,0.7860,0.7860,0.7858,
  2,0.7646,0.8112,0.8254,0.8358,0.8421,0.8460,0.8494,0.8524,0.8550,0.8572,0.8590,0.8604,0.8615,0.8624,0.8631,0.8638,0.8643,0.8648,0.8652,0.8656,0.8659,0.8661,0.8663,0.8665,0.8667,0.8668,0.8669,0.8670,0.8671,0.8672,0.8672,0.8673,0.8674,0.8674,0.8675,0.8676,0.8676,0.8677,0.8678,0.8678,
  3,0.7740,0.8265,0.8478,0.8608,0.8718,0.8802,0.8857,0.8890,0.8913,0.8932,0.8951,0.8971,0.8989,0.9006,0.9021,0.9033,0.9043,0.9052,0.9059,0.9064,0.9069,0.9073,0.9075,0.9078,0.9080,0.9081,0.9082,0.9083,0.9084,0.9085,0.9086,0.9087,0.9088,0.9090,0.9091,0.9093,0.9095,0.9097,0.9100,0.9103,
  4,0.7803,0.8366,0.8608,0.8779,0.8904,0.8997,0.9067,0.9121,0.9163,0.9198,0.9226,0.9250,0.9271,0.9288,0.9304,0.9317,0.9329,0.9340,0.9349,0.9358,0.9365,0.9372,0.9377,0.9382,0.9386,0.9390,0.9393,0.9396,0.9398,0.9400,0.9402,0.9403,0.9404,0.9404,0.9405,0.9405,0.9405,0.9405,0.9405,0.9404,
  5,0.7847,0.8440,0.8715,0.8909,0.9053,0.9163,0.9247,0.9313,0.9365,0.9407,0.9442,0.9472,0.9497,0.9518,0.9537,0.9553,0.9568,0.9582,0.9593,0.9604,0.9613,0.9622,0.9629,0.9635,0.9641,0.9646,0.9650,0.9654,0.9657,0.9660,0.9662,0.9664,0.9665,0.9666,0.9666,0.9667,0.9667,0.9666,0.9666,0.9665,
  6,0.7876,0.8496,0.8802,0.9009,0.9174,0.9304,0.9400,0.9473,0.9529,0.9575,0.9615,0.9649,0.9679,0.9705,0.9729,0.9749,0.9767,0.9783,0.9797,0.9809,0.9820,0.9830,0.9839,0.9846,0.9853,0.9858,0.9863,0.9867,0.9871,0.9874,0.9877,0.9879,0.9881,0.9883,0.9884,0.9885,0.9886,0.9887,0.9887,0.9888,
  7,0.7898,0.8538,0.8867,0.9089,0.9269,0.9412,0.9519,0.9598,0.9661,0.9712,0.9756,0.9795,0.9829,0.9858,0.9885,0.9908,0.9929,0.9947,0.9963,0.9977,0.9989,1.0000,1.0010,1.0018,1.0026,1.0032,1.0038,1.0043,1.0047,1.0051,1.0054,1.0057,1.0060,1.0062,1.0063,1.0065,1.0066,1.0067,1.0068,1.0069,
  8,0.7916,0.8571,0.8914,0.9153,0.9343,0.9495,0.9609,0.9697,0.9767,0.9824,0.9873,0.9915,0.9952,0.9985,1.0013,1.0039,1.0061,1.0081,1.0099,1.0115,1.0129,1.0141,1.0152,1.0161,1.0170,1.0177,1.0184,1.0190,1.0195,1.0199,1.0203,1.0206,1.0209,1.0211,1.0213,1.0215,1.0216,1.0217,1.0218,1.0219,
  9,0.7930,0.8598,0.8951,0.9204,0.9403,0.9559,0.9681,0.9776,0.9853,0.9917,0.9971,1.0017,1.0056,1.0091,1.0121,1.0148,1.0172,1.0194,1.0213,1.0230,1.0245,1.0259,1.0271,1.0282,1.0291,1.0300,1.0307,1.0314,1.0319,1.0324,1.0328,1.0332,1.0335,1.0338,1.0340,1.0342,1.0343,1.0344,1.0345,1.0345,
 10,0.7941,0.8619,0.8979,0.9245,0.9450,0.9611,0.9738,0.9841,0.9925,0.9994,1.0052,1.0101,1.0144,1.0180,1.0212,1.0241,1.0267,1.0290,1.0310,1.0329,1.0345,1.0360,1.0373,1.0385,1.0395,1.0405,1.0413,1.0420,1.0426,1.0432,1.0436,1.0440,1.0444,1.0447,1.0449,1.0451,1.0452,1.0453,1.0454,1.0454,
 11,0.7951,0.8637,0.9003,0.9277,0.9488,0.9653,0.9786,0.9894,0.9984,1.0058,1.0121,1.0173,1.0218,1.0257,1.0291,1.0321,1.0348,1.0373,1.0395,1.0414,1.0432,1.0448,1.0462,1.0474,1.0485,1.0495,1.0504,1.0512,1.0519,1.0525,1.0530,1.0534,1.0538,1.0541,1.0544,1.0546,1.0548,1.0549,1.0550,1.0551,
 12,0.7959,0.8652,0.9023,0.9303,0.9519,0.9688,0.9825,0.9939,1.0033,1.0112,1.0178,1.0234,1.0281,1.0322,1.0358,1.0391,1.0419,1.0445,1.0468,1.0489,1.0507,1.0524,1.0539,1.0552,1.0564,1.0575,1.0584,1.0592,1.0599,1.0606,1.0612,1.0617,1.0621,1.0624,1.0628,1.0630,1.0632,1.0634,1.0636,1.0637,
 13,0.7965,0.8665,0.9041,0.9324,0.9544,0.9717,0.9859,0.9977,1.0075,1.0158,1.0227,1.0285,1.0336,1.0379,1.0417,1.0451,1.0481,1.0509,1.0533,1.0555,1.0574,1.0591,1.0607,1.0621,1.0633,1.0644,1.0654,1.0663,1.0671,1.0678,1.0684,1.0689,1.0694,1.0698,1.0701,1.0705,1.0707,1.0710,1.0712,1.0714,
