%DATE 30-Jun-2023
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 900
%DetectorDepth 100
# DATA: 6FFF RDF at d=10cm
  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40,
  1,0.7282,0.7609,0.7693,0.7746,0.7782,0.7806,0.7825,0.7841,0.7855,0.7865,0.7874,0.7881,0.7887,0.7891,0.7895,0.7899,0.7902,0.7905,0.7907,0.7909,0.7911,0.7913,0.7915,0.7916,0.7917,0.7918,0.7919,0.7920,0.7921,0.7922,0.7922,0.7923,0.7923,0.7923,0.7924,0.7924,0.7924,0.7925,0.7925,0.7925,
  2,0.7657,0.8121,0.8270,0.8377,0.8446,0.8491,0.8527,0.8558,0.8584,0.8604,0.8618,0.8629,0.8638,0.8645,0.8651,0.8658,0.8664,0.8670,0.8676,0.8682,0.8688,0.8693,0.8698,0.8703,0.8707,0.8711,0.8714,0.8717,0.8720,0.8722,0.8724,0.8725,0.8725,0.8726,0.8725,0.8725,0.8724,0.8722,0.8720,0.8717,
  3,0.7752,0.8282,0.8485,0.8622,0.8724,0.8800,0.8856,0.8898,0.8930,0.8955,0.8976,0.8994,0.9009,0.9021,0.9032,0.9042,0.9051,0.9058,0.9065,0.9070,0.9076,0.9080,0.9084,0.9088,0.9091,0.9094,0.9097,0.9099,0.9101,0.9103,0.9105,0.9107,0.9109,0.9111,0.9113,0.9114,0.9116,0.9118,0.9120,0.9122,
  4,0.7806,0.8377,0.8622,0.8794,0.8918,0.9009,0.9080,0.9136,0.9181,0.9217,0.9245,0.9267,0.9284,0.9299,0.9312,0.9324,0.9335,0.9345,0.9354,0.9363,0.9371,0.9378,0.9384,0.9390,0.9395,0.9400,0.9404,0.9408,0.9411,0.9414,0.9417,0.9418,0.9420,0.9421,0.9422,0.9422,0.9422,0.9421,0.9421,0.9419,
  5,0.7847,0.8454,0.8732,0.8929,0.9070,0.9174,0.9257,0.9324,0.9379,0.9422,0.9457,0.9485,0.9508,0.9527,0.9544,0.9559,0.9573,0.9585,0.9597,0.9607,0.9617,0.9625,0.9633,0.9640,0.9646,0.9652,0.9656,0.9661,0.9664,0.9667,0.9670,0.9671,0.9673,0.9674,0.9674,0.9674,0.9674,0.9673,0.9672,0.9670,
  6,0.7877,0.8514,0.8818,0.9032,0.9189,0.9306,0.9400,0.9475,0.9536,0.9586,0.9627,0.9661,0.9690,0.9714,0.9735,0.9754,0.9770,0.9785,0.9799,0.9810,0.9821,0.9830,0.9839,0.9846,0.9852,0.9858,0.9863,0.9867,0.9871,0.9874,0.9877,0.9879,0.9880,0.9882,0.9883,0.9884,0.9884,0.9884,0.9884,0.9884,
  7,0.7900,0.8561,0.8881,0.9110,0.9281,0.9411,0.9515,0.9598,0.9665,0.9721,0.9767,0.9806,0.9838,0.9866,0.9891,0.9912,0.9931,0.9948,0.9963,0.9977,0.9988,0.9999,1.0008,1.0016,1.0023,1.0030,1.0035,1.0040,1.0044,1.0048,1.0051,1.0054,1.0056,1.0058,1.0060,1.0061,1.0062,1.0063,1.0064,1.0065,
  8,0.7918,0.8597,0.8928,0.9169,0.9353,0.9495,0.9608,0.9698,0.9772,0.9833,0.9883,0.9926,0.9961,0.9992,1.0019,1.0043,1.0064,1.0083,1.0100,1.0114,1.0128,1.0139,1.0150,1.0159,1.0167,1.0175,1.0181,1.0187,1.0192,1.0196,1.0200,1.0203,1.0206,1.0209,1.0211,1.0213,1.0214,1.0216,1.0217,1.0218,
  9,0.7932,0.8624,0.8963,0.9215,0.9410,0.9562,0.9683,0.9781,0.9860,0.9926,0.9980,1.0026,1.0064,1.0097,1.0126,1.0152,1.0175,1.0196,1.0214,1.0230,1.0245,1.0258,1.0270,1.0280,1.0290,1.0298,1.0306,1.0312,1.0318,1.0323,1.0328,1.0332,1.0335,1.0338,1.0341,1.0343,1.0345,1.0347,1.0348,1.0349,
 10,0.7943,0.8645,0.8991,0.9253,0.9456,0.9616,0.9744,0.9848,0.9933,1.0003,1.0061,1.0110,1.0151,1.0186,1.0217,1.0245,1.0270,1.0292,1.0312,1.0330,1.0346,1.0360,1.0373,1.0385,1.0395,1.0404,1.0413,1.0420,1.0426,1.0432,1.0437,1.0442,1.0446,1.0449,1.0452,1.0455,1.0457,1.0459,1.0460,1.0461,
 11,0.7952,0.8661,0.9014,0.9284,0.9494,0.9659,0.9793,0.9902,0.9992,1.0067,1.0128,1.0180,1.0224,1.0262,1.0295,1.0325,1.0352,1.0375,1.0397,1.0416,1.0433,1.0449,1.0462,1.0475,1.0486,1.0496,1.0505,1.0513,1.0520,1.0526,1.0532,1.0536,1.0541,1.0544,1.0547,1.0550,1.0553,1.0555,1.0556,1.0558,
